# Portfolio Report - 0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266
# Generated: 2026-06-16 04:25:47
Chain,ChainID,Token,Balance
atlantic-testnet,688689,PHRS,7.47773772
kaia,8217,KAIA,3.56082180
arbitrum-sepolia,421614,ETH,0.00297568
apechain,33139,APE,0.00220618
tac,239,ETH,0.00216000
avalanche-fuji,43113,AVAX,0.00023031
zetachain,7000,ZETA,0.00012605
haqq,11235,ISLM,0.00003500
zksync-sepolia,300,ETH,0.00002430
fantom,250,FTM,0.00001000
playnance,1829,PBG,0.00000215
zksync,324,ETH,0.00000202
lens,232,ETH,0.00000100
oktc,66,OKT,0.00000021
taiko,167000,ETH,0.00000012
boba,288,ETH,0.00000007
superseed,5330,ETH,0.00000006
lisk,1135,ETH,0.00000000
manta,169,ETH,0.00000000
soneium,1868,ETH,0.00000000
blast,81457,ETH,0.00000000
opbnb,204,BNB,0.00000000
blast-sepolia,168587773,ETH,0.00000000
filecoin,314,FIL,0.00000000
merlin,4200,ETH,0.00000000
harmony,1666600000,ONE,0.00000000
immutable,13371,IMX,0.00000000
dymension,1100,DYM,0.00000000
bittorrent,199,BTT,0.00000000
shibarium,109,BONE,0.00000000
flare,14,FLR,0.00000000
goat,2345,BTC,0.00000000
viction,88,VIC,0.00000000
thundercore,108,TT,0.00000000
